Sprite Room,Monster Room,Same Room,Distance To Char,Distance To Room Center,Killed,Action Choice
0,5,0,370.608,416.532,0,1
1,5,0,191.373,285.976,0,1
0,5,0,483.401,430.601,0,1
1,5,0,195.718,290.945,0,1
0,5,0,281.526,380.975,0,1
0,5,0,333.919,300.322,0,1
0,5,0,443.654,329.57,0,1
0,5,0,341.042,391.648,0,1
0,5,0,406.644,319.181,0,1
0,5,0,264.736,314.126,0,1
0,5,0,329.958,298.576,0,1
0,5,0,238.699,326.108,0,1
0,5,0,264.985,376.778,0,1
0,5,0,499.343,477.766,0,1
0,5,0,340.149,327.596,0,1
0,5,0,421.798,358.688,0,1
0,5,0,344.95,369.701,0,1
0,5,0,365.35,342.923,0,1
0,5,0,266.623,378.338,0,1
2,5,0,260.252,249.702,0,1
0,5,0,395.677,380.639,0,1
0,5,0,311.513,327.794,0,1
0,5,0,429.288,425.156,0,1
0,5,0,369.777,392.9,0,1
2,5,0,181.849,250.001,0,1
0,5,0,370.772,338.98,0,1
0,5,0,295.027,407.271,0,1
0,5,0,229.888,324.756,0,1
0,5,0,308.549,327.314,0,1
5,5,1,211.536,78.9124,0,1
0,5,0,347.63,347.629,0,1
2,5,0,243.768,239.423,0,1
0,5,0,447.928,335.885,0,1
0,5,0,236.339,320.694,0,1
0,5,0,259.986,365.304,0,1
4,5,0,60.7237,133.549,0,1
2,5,0,175.283,257.422,0,1
5,5,1,217.01,61.6627,0,1
0,5,0,444.073,446.081,0,1
0,5,0,454.713,396.874,0,1
0,5,0,452.794,458.645,0,1
0,5,0,308.26,327.336,0,1
5,5,1,129.708,20.1616,0,1
0,5,0,266.164,370.826,0,1
0,5,0,336.742,319.637,0,1
0,5,0,351.315,442.268,0,1
0,5,0,361.527,321.648,0,1
1,5,0,185.836,272.946,0,1
0,5,0,300.654,407.741,0,1
0,5,0,524.03,468.295,0,1
0,5,0,288.113,410.465,0,1
0,5,0,298.817,335.416,0,1
5,5,1,97.508,107.547,0,1
0,5,0,400.248,336.046,0,1
0,5,0,264.967,328.784,0,1
0,5,0,268.213,367.456,0,1
0,5,0,341.065,337.591,0,1
0,5,0,522.806,455.696,0,1
2,5,0,315.037,235.252,0,1
0,5,0,284.534,381.013,0,1
0,5,0,464.959,480.561,0,1
0,5,0,295.183,335.165,0,1
0,5,0,486.609,445.362,0,1
2,5,0,258.279,243.504,0,1
0,5,0,364.337,343.252,0,1
0,5,0,338.815,335.937,0,1
0,5,0,460.062,410.766,0,1
5,5,1,210.219,46.5114,0,1
0,5,0,381.985,327.681,0,1
0,5,0,298.564,405.817,0,1
0,5,0,472.34,486.952,0,1
0,5,0,322.141,386.868,0,1
0,5,0,492.214,470.303,0,1
1,5,0,308.671,363.616,0,1
0,5,0,444.768,385.311,0,1
0,5,0,266.05,329.965,0,1
0,5,0,235.857,332.047,0,1
5,5,1,220.777,49.9369,0,1
2,5,0,264.142,249.033,0,1
0,5,0,397.55,328.059,0,1
0,5,0,388.175,390.761,0,1
0,5,0,337.203,335.938,0,1
0,5,0,429.795,465.809,0,1
0,5,0,410.415,413.995,0,1
0,5,0,395.452,327.983,0,1
0,5,0,296.77,406.546,0,1
0,5,0,390.506,335.736,0,1
2,5,0,252.969,238.8,0,1
0,5,0,452.997,402.034,0,1
4,5,0,226.865,306.612,0,1
0,5,0,243.382,322.472,0,1
0,5,0,444.109,384.548,0,1
2,5,0,256.397,181.237,0,1
0,5,0,431.702,467.686,0,1
0,5,0,441.689,442.669,0,1
0,5,0,443.731,329.684,0,1
0,5,0,372.636,337.783,0,1
2,5,0,312.93,231.325,0,1
2,2,1,21.261,108.759,0,1
0,5,0,452.037,443.527,0,1
0,5,0,389.597,326.589,0,1
0,5,0,443.443,475.592,0,1
0,5,0,286.302,315.764,0,1
0,5,0,421.449,437.85,0,1
5,5,1,208.517,88.2688,0,1
2,5,0,330.016,261.53,0,1
0,5,0,336.899,345.029,0,1
0,5,0,284,317.185,0,1
0,5,0,380.545,364.53,0,1
2,5,0,335.683,270.897,0,1
0,5,0,320.631,424.453,0,1
0,5,0,493.01,487.254,0,1
5,5,1,216.392,63.5976,0,1
0,5,0,411.704,415.665,0,1
4,5,0,331.43,362.793,0,1
5,5,1,149.98,122.332,0,1
1,5,0,237.336,302.762,0,1
0,5,0,370.391,417.342,0,1
0,5,0,394.081,327.71,0,1
2,5,0,257.366,279.565,0,1
2,5,0,211.954,223.413,0,1
0,5,0,332.426,316.102,0,1
0,5,0,371.317,338.58,0,1
0,5,0,294.903,407.324,0,1
0,5,0,388.936,372.948,0,1
0,5,0,270.809,353.146,0,1
0,5,0,476.717,446.223,0,1
0,5,0,297.313,327.579,0,1
0,5,0,308.105,404.406,0,1
0,5,0,275.042,314.908,0,1
4,5,0,68.3737,139.243,0,1
4,5,0,329.712,359.03,0,1
0,5,0,470.707,486.155,0,1
5,5,1,220.919,49.4995,0,1
0,5,0,445.422,441.645,0,1
0,5,0,479.685,470.827,0,1
0,5,0,387.722,429.741,0,1
0,5,0,488.275,486.353,0,1
4,5,0,77.8366,146.307,0,1
0,5,0,397.368,329.87,0,1
5,5,1,205.594,34.9483,0,1
2,5,0,214.206,249.213,0,1
5,5,1,217.632,59.7185,0,1
0,5,0,260.144,316.238,0,1
0,5,0,261.815,324.597,0,1
0,5,0,486.89,486.09,0,1
0,5,0,367.786,361.775,0,1
